book_id,sku,title,title_norm,price,original_price,discount,discount_rate,quantity_sold,rating_average,review_count,source_keys,source_keys_norm,source_key_count,source_modes,fetched_at_first,fetched_at_last,tiki_url,url_path,match_text_norm,popularity_score
279082328,8348334459980,- The Rule Of Law by Tom Bingham - Non Fiction/ Law/ English book - Sách Ngoại Văn,the rule of law by tom bingham non fiction law english book sach ngoai van,380000,380000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/sach-the-rule-of-law-by-tom-bingham-non-fiction-law-english-book-sach-ngoai-van-p279082328.html?spid=279082329,sach-the-rule-of-law-by-tom-bingham-non-fiction-law-english-book-sach-ngoai-van-p279082328.html?spid=279082329,the rule of law by tom bingham non fiction law english book sach ngoai van economic law,0.0
276560628,9034581412416,CÔNG TY VÀ LAO ĐỘNG / COMPANY AND EMPLOYMENT LAW,cong ty va lao dong company and employment law,230000,230000,0,0,2.0,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/cong-ty-va-lao-dong-company-and-employment-law-p276560628.html?spid=276560629,cong-ty-va-lao-dong-company-and-employment-law-p276560628.html?spid=276560629,cong ty va lao dong company and employment law economic law,1.0986
189538035,6371865478992,Bộ Sách Luật Hấp dẫn - Law of Attraction (Bộ 3 Cuốn),bo sach luat hap dan law of attraction bo 3 cuon,397000,397000,0,0,5.0,5.0,1,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/bo-sach-luat-hap-dan-law-of-attraction-bo-3-cuon-p189538035.html?spid=208635239,bo-sach-luat-hap-dan-law-of-attraction-bo-3-cuon-p189538035.html?spid=208635239,bo sach luat hap dan law of attraction bo 3 cuon economic law,7.8315
184521841,9456174645061,Bộ Sách Luật Hấp dẫn - Law of Attraction (Bộ 3 Cuốn),bo sach luat hap dan law of attraction bo 3 cuon,349300,397000,47700,12,28.0,5.0,1,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/bo-sach-luat-hap-dan-law-of-attraction-bo-3-cuon-p184521841.html?spid=184521842,bo-sach-luat-hap-dan-law-of-attraction-bo-3-cuon-p184521841.html?spid=184521842,bo sach luat hap dan law of attraction bo 3 cuon economic law,9.407
278192012,3607722009910,Những sự thật và ngụy biện trong Kinh tế học - Economic Facts and Fallacies - Thomas Sowell,nhung su that va nguy bien trong kinh te hoc economic facts and fallacies thomas sowell,399000,399000,0,0,38.0,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/nhung-su-that-va-nguy-bien-trong-kinh-te-hoc-economic-facts-and-fallacies-p278192012.html?spid=278192013,nhung-su-that-va-nguy-bien-trong-kinh-te-hoc-economic-facts-and-fallacies-p278192012.html?spid=278192013,nhung su that va nguy bien trong kinh te hoc economic facts and fallacies thomas sowell economic law,3.6636
278744096,5459806856868,"Tiền bạc và Luật Hấp Dẫn - Money, and the Law of Attraction- Happy Live",tien bac va luat hap dan money and the law of attraction happy live,249000,249000,0,0,11.0,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/sach-tien-bac-va-luat-hap-dan-money-and-the-law-of-attraction-hoc-cach-thu-hut-su-giau-co-suc-khoe-va-hanh-phuc-happy-live-p278744096.html?spid=278744097,sach-tien-bac-va-luat-hap-dan-money-and-the-law-of-attraction-hoc-cach-thu-hut-su-giau-co-suc-khoe-va-hanh-phuc-happy-live-p278744096.html?spid=278744097,tien bac va luat hap dan money and the law of attraction happy live economic law,2.4849
277030506,5918972054813,"Sacred Economic - Kinh tế học thiêng liêng - Ý nghĩa tinh thần của Tiền bạc, Quà tặng và Cộng đồng",sacred economic kinh te hoc thieng lieng y nghia tinh than cua tien bac qua tang va cong dong,350000,350000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/sacred-economic-kinh-te-hoc-thieng-lieng-y-nghia-tinh-than-cua-tien-bac-qua-tang-va-cong-dong-p277030506.html?spid=277030507,sacred-economic-kinh-te-hoc-thieng-lieng-y-nghia-tinh-than-cua-tien-bac-qua-tang-va-cong-dong-p277030506.html?spid=277030507,sacred economic kinh te hoc thieng lieng y nghia tinh than cua tien bac qua tang va cong dong economic law,0.0
279336235,1712983760705,- The Seven Law Of Guaranteed Growth - 7 Quy Luật Tăng Trưởng Bứt Phá,the seven law of guaranteed growth 7 quy luat tang truong but pha,166600,196000,29400,15,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/sach-the-seven-law-of-guaranteed-growth-7-quy-luat-tang-truong-but-pha-p279336235.html?spid=279336236,sach-the-seven-law-of-guaranteed-growth-7-quy-luat-tang-truong-but-pha-p279336235.html?spid=279336236,the seven law of guaranteed growth 7 quy luat tang truong but pha economic law,0.0
106361008,4290824918925,Career Paths Law (Esp) Student's Book With Crossplatform Application,career paths law esp student s book with crossplatform application,235000,235000,0,0,24.0,4.5,2,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/career-paths-law-esp-student-s-book-with-crossplatform-application-p106361008.html?spid=106361009,career-paths-law-esp-student-s-book-with-crossplatform-application-p106361008.html?spid=106361009,career paths law esp student s book with crossplatform application economic law,9.3668
278304025,1656117493812,Truyện Tiểu Thuyết One Piece - Chuyện về Law (Chang Book),truyen tieu thuyet one piece chuyen ve law chang book,84500,84500,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/truyen-tieu-thuyet-one-piece-chuyen-ve-law-chang-book-p278304025.html?spid=278304026,truyen-tieu-thuyet-one-piece-chuyen-ve-law-chang-book-p278304025.html?spid=278304026,truyen tieu thuyet one piece chuyen ve law chang book economic law,0.0
