resource_id,item_id,resource_type,resource_title,resource_url
TIKI_279292266,24,tiki_book,"Hướng Dẫn Chế Độ Kế Toán Hành Chính, Sự Nghiệp Và Lập Báo Cáo Tài Chính Hợp Nhất Của Đơn Vị Kế Toán Cấp Trên (V2683T)",https://tiki.vn/sach-huong-dan-che-do-ke-toan-hanh-chinh-su-nghiep-va-lap-bao-cao-tai-chinh-hop-nhat-cua-don-vi-ke-toan-cap-tren-v2683t-p279292266.html?spid=279292267
TIKI_260922789,25,tiki_book,"Khởi nghiệp công nghệ – Máu Bẩn (Bad Blood - Ảo tưởng, tham vọng, bí mật & sự dối trá trong vụ lừa đảo lớn nhất...)",https://tiki.vn/khoi-nghiep-cong-nghe-mau-ban-bad-blood-ao-tuong-tham-vong-bi-mat-su-doi-tra-trong-vu-lua-dao-lon-nhat-p260922789.html?spid=263589411
REPO_UEH_63105,26,ueh_repository,Hoàn thiện hệ thống thông tin kế toán tại Công ty TNHH MTV Dịch vụ Công ích Quận 4,https://digital.lib.ueh.edu.vn/handle/UEH/63105
REPO_UEH_63472,27,ueh_repository,Hoàn thiện hệ thống thông tin kế toán nhằm đáp ứng yêu cầu quản lý tại Trường Cao đẳng Nghề Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63472
TIKI_195792313,28,tiki_book,Tinh Hoa Kinh Tế Học (Essentials Of Economics) - Tặng sổ tay xương rồng,https://tiki.vn/sach-tinh-hoa-kinh-te-hoc-essentials-of-economics-tang-so-tay-xuong-rong-p195792313.html?spid=195792314
TIKI_274890405,29,tiki_book,"- Nhận Diện Nghệ Thuật Đồ Họa - Để nghiên cứu , sáng tác và giảng dạy Thiết Kế Đồ Họa ( Tặng kèm sổ tay xương rồng )",https://tiki.vn/sach-nhan-dien-nghe-thuat-do-hoa-de-nghien-cuu-sang-tac-va-giang-day-thiet-ke-do-hoa-tang-kem-so-tay-xuong-rong-p274890405.html?spid=274890406
REPO_UEH_62140,30,ueh_repository,Giải pháp nâng cao chất lượng dịch vụ tín dụng tại Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam – chi nhánh Thành Đô,https://digital.lib.ueh.edu.vn/handle/UEH/62140
TIKI_1208799,31,tiki_book,Nguyên Lý Quản Trị Chuỗi Cung Ứng,https://tiki.vn/sach-nguyen-ly-quan-tri-chuoi-cung-ung-p1208799.html?spid=1208801
TIKI_243732948,32,tiki_book,"Giáo trình Tín dụng và thanh toán thương mại quốc tế (Tái bản lần thứ tư, có sửa chữa bổ sung)",https://tiki.vn/giao-trinh-tin-dung-va-thanh-toan-thuong-mai-quoc-te-tai-ban-lan-thu-tu-co-sua-chua-bo-sung-p243732948.html?spid=243732949
TIKI_63822864,33,tiki_book,Phân tích kinh tế - kỹ thuật các dự án đầu tư xây dựng,https://tiki.vn/sach-phan-tich-kinh-te-ky-thuat-cac-du-an-dau-tu-xay-dung-p63822864.html?spid=111196672
REPO_UEH_63686,34,ueh_repository,Quản trị rủi ro tín dụng theo Basel II tại Ngân hàng TMCP Phương Đông,https://digital.lib.ueh.edu.vn/handle/UEH/63686
TIKI_271583421,35,tiki_book,"Hệ Thống Chỉ Tiêu Thống Kê Cấp Tỉnh, Cấp Huyện, Cấp Xã theo Quyết định 05/2023/QĐ-TTg ngày 24/02/2023 - V2205T",https://tiki.vn/sach-he-thong-chi-tieu-thong-ke-cap-tinh-cap-huyen-cap-xa-theo-quyet-dinh-05-2023-qd-ttg-ngay-24-02-2023-v2205t-p271583421.html?spid=271583422
REPO_UEH_62673,36,ueh_repository,"Doanh thu, chi phí và kết quả kinh doanh tại Công ty Cổ phần Sản xuất Kinh doanh Sơn Kim – Theo kế toán tài chính và kế toán quản trị",https://digital.lib.ueh.edu.vn/handle/UEH/62673
TIKI_278226682,37,tiki_book,- Thiết Kế Hệ Thống Học Máy - Designing Machine Learning Systems,https://tiki.vn/sach-thiet-ke-he-thong-hoc-may-designing-machine-learning-systems-p278226682.html?spid=278226683
REPO_UEH_62896,38,ueh_repository,Quản lý nhà nước về ứng dụng công nghệ thông tin trên địa bàn tỉnh An Giang,https://digital.lib.ueh.edu.vn/handle/UEH/62896
